location,bhk,total_sqft,bath,balcony
Bommanahalli,1,600,1,1
Electronics City,1,660,1,1
Bommanahalli,1,700,2,1
Bommanahalli,1,600,1,0
Bommanahalli,1,708,2,2
Bommanahalli,1,650,1,1
Bommanahalli,1,782,2,2
Electronics City,1,770,1,1
Bommanahalli,1,800,1,1
Bommanahalli,1,700,1,1
Electronics City,1,630,1,1
Bommanahalli,1,750,2,1
Bommanahalli,1,708,1,1
Electronics City,1,630,1,1
Vijayanagar,1,656,2,1
Bommanahalli,1,600,1,0
Vijayanagar,1,656,2,1
Bommanahalli,1,775,2,1
Vijayanagar,1,667,1,1
Bommanahalli,1,735,2,1
Bommanahalli,1,674,2,1
Bommanahalli,1,650,1,2
Electronics City,1,630,1,1
Bommanahalli,1,686,1,1
Bommanahalli,1,793,2,1
Bommanahalli,1,650,2,0
Vijayanagar,1,665,1,1
Bommanahalli,1,600,1,1
Bommanahalli,1,720,2,1
Electronics City,1,775,2,2
Bommanahalli,1,700,1,0
Bommanahalli,1,697,1,0
Electronics City,1,630,1,1
Bommanahalli,1,665,1,0
Electronics City,1,710,2,2
Bommanahalli,1,680,1,1
Bommanahalli,1,755,2,1
Vijayanagar,1,620,2,1
Bommanahalli,1,650,1,2
Bommanahalli,1,674,2,1
Bommanahalli,1,700,2,0
Bommanahalli,1,628,1,1
Bommanahalli,1,654,1,1
Vijayanagar,1,600,1,1
Electronics City,1,770,1,1
Bommanahalli,1,800,2,3
Bommanahalli,1,800,2,2
Bommanahalli,1,726,2,1
Bommanahalli,1,640,1,0
Bommanahalli,1,650,1,1
Vijayanagar,1,600,1,1
Bommanahalli,1,688,1,2
Bommanahalli,1,686,1,1
Bommanahalli,1,740,2,1
Vijayanagar,1,671,1,1
Bommanahalli,1,800,4,1
Bommanahalli,1,750,2,1
Electronics City,1,630,1,1
Bommanahalli,1,740,2,1
Vijayanagar,1,668,1,1
Bommanahalli,1,605,1,1
Bommanahalli,1,700,2,1
Bommanahalli,1,750,2,2
Bommanahalli,1,693,1,1
Bommanahalli,1,674,1,1
Bommanahalli,1,700,1,1
Vijayanagar,1,606,1,0
Bommanahalli,1,600,1,1
Bommanahalli,1,660,1,1
Bommanahalli,1,780,2,2
Bommanahalli,1,674,1,1
Vijayanagar,1,795,2,1
Bommanahalli,1,700,1,1
Bommanahalli,1,700,1,0
Bommanahalli,1,630,1,1
Whitefield,1,735,2,1
Bommanahalli,1,799,2,1
Bommanahalli,1,630,1,0
Electronics City,2,1056,2,1
Bommanahalli,2,1440,2,3
Bommanahalli,2,1200,2,1
Whitefield,2,1170,2,1
Bommanahalli,2,1310,3,1
Vijayanagar,2,1000,2,1
Bommanahalli,2,1100,2,2
Bommanahalli,2,1175,2,2
Bommanahalli,2,1180,3,2
Bommanahalli,2,1100,2,2
Bommanahalli,2,1250,3,2
Bommanahalli,2,1151,2,2
Electronics City,2,1025,2,1
Bommanahalli,2,1075,2,1
Electronics City,2,1070,2,1
Bommanahalli,2,1290,2,2
Bommanahalli,2,1143,2,2
Bommanahalli,2,1296,2,1
Bommanahalli,2,1254,3,2
Bommanahalli,2,1331,2,2
Bommanahalli,2,970,2,0
Whitefield,2,1459,2,1
Bommanahalli,2,869,2,1
Vijayanagar,2,1270,2,1
Bommanahalli,2,1185,2,2
Bommanahalli,2,1200,2,2
Bommanahalli,2,1500,2,2
Bommanahalli,2,840,2,2
Bommanahalli,2,845,2,1
Bommanahalli,2,1160,2,2
Bommanahalli,2,1100,2,1
Bommanahalli,2,1140,2,3
Bommanahalli,2,1220,2,1
Bommanahalli,2,1005,2,1
Bommanahalli,2,1358,2,1
Bommanahalli,2,1240,2,1
Bommanahalli,2,1206,2,1
Bommanahalli,2,1150,2,3
Bommanahalli,2,1326,2,2
Bommanahalli,2,1325,2,2
Bommanahalli,2,1499,5,2
Bommanahalli,2,1060,2,2
Bommanahalli,2,1000,2,2
Electronics City,2,1000,2,1
Bommanahalli,2,1450,2,2
Bommanahalli,2,1296,2,3
Bommanahalli,2,1330,2,1
Bommanahalli,2,1200,2,1
Bommanahalli,2,1007,2,2
Bommanahalli,2,1200,2,2
Bommanahalli,2,966,2,2
Bommanahalli,2,1260,2,2
Bommanahalli,2,1413,2,2
Whitefield,2,1116,2,1
Bommanahalli,2,1436,3,1
Bommanahalli,2,1100,2,2
Bommanahalli,2,1427,3,2
Bommanahalli,2,1282,2,2
Bommanahalli,2,1050,2,1
Bommanahalli,2,945,2,1
Bommanahalli,2,1500,2,1
Electronics City,2,880,1,1
Bommanahalli,2,950,2,1
Bommanahalli,2,1360,2,1
Bommanahalli,2,1280,3,1
Bommanahalli,2,1260,2,2
Indira Nagar,2,1000,2,1
Vijayanagar,2,1167,2,1
Bommanahalli,2,890,2,1
Bommanahalli,2,957,2,1
Bommanahalli,2,1250,2,3
Bommanahalli,2,1125,2,2
Electronics City,2,1020,2,1
Bommanahalli,2,1200,2,2
Vijayanagar,2,1350,2,3
Bommanahalli,2,1063,2,1
Bommanahalli,2,1425,2,2
Electronics City,2,1500,2,1
Electronics City,2,1060,2,1
Indira Nagar,2,1470,2,2
Electronics City,2,1152,2,1
Electronics City,2,1350,2,1
Bommanahalli,2,1242,2,3
Electronics City,2,1070,2,1
Bommanahalli,2,1340,2,2
Electronics City,2,1025,2,1
Bommanahalli,2,1200,2,2
Bommanahalli,2,1200,2,2
Bommanahalli,2,1327,2,2
Bommanahalli,2,1186,2,2
Bommanahalli,2,1400,3,2
Bommanahalli,2,980,2,1
Bommanahalli,2,1285,2,2
Bommanahalli,2,912,2,1
Whitefield,2,1225,2,2
Whitefield,2,1075,2,1
Bommanahalli,2,1260,2,2
Bommanahalli,2,1282,2,2
Bommanahalli,2,1359,2,1
Bommanahalli,2,1207,2,2
Electronics City,2,1475,3,2
Bommanahalli,2,1295,2,1
Bommanahalli,2,1415,3,3
Bommanahalli,2,1475,2,3
Bommanahalli,2,984,2,1
Vijayanagar,2,1080,2,2
Bommanahalli,2,805,2,1
Bommanahalli,2,1153,2,2
Bommanahalli,2,1148,2,2
Bommanahalli,2,1110,2,2
Electronics City,2,1100,2,2
Bommanahalli,2,1290,2,2
Bommanahalli,2,1500,2,1
Bommanahalli,2,1080,2,2
Bommanahalli,2,1060,2,2
Bommanahalli,2,1285,2,3
Electronics City,2,910,2,1
Vijayanagar,2,1060,2,2
Vijayanagar,2,1270,2,2
Bommanahalli,2,900,2,2
Bommanahalli,2,1025,2,2
Electronics City,2,1108,2,1
Vijayanagar,2,1500,3,2
Bommanahalli,2,1295,2,2
Bommanahalli,2,1162,2,1
Bommanahalli,2,1035,2,2
Bommanahalli,2,1464,3,2
Bommanahalli,2,913,2,1
Bommanahalli,2,883,2,1
Bommanahalli,2,1210,2,1
Bommanahalli,2,1252,3,3
Bommanahalli,2,861,2,1
Vijayanagar,2,1420,2,1
Electronics City,2,1490,3,1
Bommanahalli,2,1075,2,1
Bommanahalli,2,1425,2,2
Bommanahalli,2,1200,2,1
Bommanahalli,2,1280,2,2
Bommanahalli,2,1084,2,2
Bommanahalli,2,1015,2,2
Bommanahalli,2,1017,2,1
Bommanahalli,2,1027,2,2
Electronics City,2,1069,2,2
Bommanahalli,2,1349,2,1
Vijayanagar,2,1005,2,1
Indira Nagar,2,1417,2,3
Bommanahalli,2,950,2,2
Bommanahalli,2,1010,2,1
Bommanahalli,2,1425,2,1
Vijayanagar,2,1450,3,0
Vijayanagar,2,1100,2,3
Bommanahalli,2,1438,2,3
Bommanahalli,2,1350,2,1
Bommanahalli,2,1140,2,2
Bommanahalli,2,850,2,2
Whitefield,2,1280,2,2
Bommanahalli,2,1170,2,2
Bommanahalli,2,1113,2,1
Bommanahalli,2,1385,2,1
Electronics City,2,1128,2,1
Bommanahalli,2,1464,3,2
Bommanahalli,2,1200,2,2
Bommanahalli,2,1200,2,2
Bommanahalli,2,1150,2,1
Bommanahalli,2,1000,2,1
Vijayanagar,2,1192,2,2
Whitefield,2,1173,2,1
Bommanahalli,2,1020,2,2
Bommanahalli,2,1230,2,3
Bommanahalli,2,1250,2,2
Bommanahalli,2,1325,2,2
Bommanahalli,2,1200,2,2
Bommanahalli,2,1260,3,1
Vijayanagar,2,1100,2,1
Vijayanagar,2,1388,2,3
Bommanahalli,2,950,2,2
Bommanahalli,2,1116,2,1
Bommanahalli,2,1308,2,2
Bommanahalli,2,1200,3,0
Bommanahalli,2,1075,2,1
