location,bhk,total_sqft,bath,balcony,price_in_lakhs
Whitefield,2,1130,2,1,4216000
Bommanahalli,2,1320,2,1,16500000
Bommanahalli,2,1270,2,1,9800000
Bommanahalli,2,1200,2,1,6200000
Bommanahalli,2,1200,2,1,7400000
Bommanahalli,2,929,2,0,5017000
Bommanahalli,2,1150,4,2,26000000
Bommanahalli,2,1464,3,2,5600000
Bommanahalli,2,1208,2,1,4900000
Bommanahalli,2,1130,2,2,6000000
Bommanahalli,2,1196,2,2,9442000
Vijayanagar,2,1150,3,3,5250000
Electronics City,2,1128,2,1,6300000
Bommanahalli,2,1000,2,1,5300000
Bommanahalli,2,1035,2,1,4500000
Bommanahalli,2,950,2,1,3200000
Bommanahalli,2,1075,2,1,3600000
Whitefield,2,1040,2,1,4850000
Bommanahalli,2,1300,3,1,5800000
Bommanahalli,2,1062,2,3,3800000
Bommanahalli,2,1115,2,1,4000000
Bommanahalli,2,1000,2,1,3500000
Bommanahalli,2,883,2,1,4500000
Bommanahalli,2,1195,2,1,7000000
Vijayanagar,2,1246,2,1,6700000
Bommanahalli,2,1175,2,2,4800000
Bommanahalli,2,1353,2,2,11000000
Whitefield,2,1150,2,1,7000000
Bommanahalli,2,1155,2,2,4274000
Electronics City,2,1000,2,1,2500000
Bommanahalli,2,1251,2,1,4700000
Bommanahalli,2,1028,2,1,4550000
Vijayanagar,2,1222,2,2,4500000
Bommanahalli,2,1170,2,1,6600000
Bommanahalli,2,1385,2,2,4848000
Bommanahalli,2,1372,2,1,6800000
Bommanahalli,2,1282,2,2,4900000
Bommanahalli,2,1135,2,1,3973000
Bommanahalli,2,1325,2,1,9000000
Bommanahalli,2,1286,2,2,6300000
Bommanahalli,2,1102,2,2,5367000
Bommanahalli,2,1350,2,2,5400000
Bommanahalli,2,1200,2,2,4200000
Bommanahalli,2,950,2,1,4000000
Vijayanagar,2,1056,2,1,8000000
Indira Nagar,2,1080,2,2,5000000
Bommanahalli,2,1126,2,1,2815000
Electronics City,2,1490,3,1,8400000
Vijayanagar,2,1160,2,1,5500000
Vijayanagar,2,1404,2,1,6930000
Bommanahalli,2,1305,2,1,5870000
Bommanahalli,2,1230,2,2,8000000
Bommanahalli,2,1460,3,1,7300000
Bommanahalli,2,967,2,3,4500000
Bommanahalli,2,1020,2,1,4895000
Bommanahalli,2,1020,2,1,4000000
Bommanahalli,2,1253,2,1,10200000
Bommanahalli,2,1180,2,2,4200000
Bommanahalli,2,961,2,2,3800000
Bommanahalli,2,1419,3,3,7500000
Bommanahalli,2,1100,2,2,9800000
Bommanahalli,2,1430,2,1,6500000
Bommanahalli,2,1260,2,2,4500000
Bommanahalli,2,1249,3,2,4471000
Bommanahalli,2,1450,2,3,8500000
Bommanahalli,2,891,2,1,2500000
Bommanahalli,2,1133,2,1,4907000
Bommanahalli,2,1075,2,1,3700000
Bommanahalli,2,1200,2,2,5500000
Bommanahalli,2,1075,2,2,4580000
Bommanahalli,2,1140,2,2,4000000
Bommanahalli,2,1090,2,1,4200000
Bommanahalli,2,1374,2,2,9500000
Bommanahalli,2,1445,3,2,9500000
Bommanahalli,2,1500,3,3,9500000
Bommanahalli,2,1400,3,2,6000000
Bommanahalli,2,1030,2,2,4900000
Bommanahalli,2,1200,2,1,8500000
Bommanahalli,2,1375,3,2,7000000
Bommanahalli,2,1000,2,2,5000000
Bommanahalli,2,883,2,1,2900000
Bommanahalli,2,1440,2,3,6500000
Bommanahalli,2,1225,2,2,4800000
Bommanahalli,2,875,2,3,5280000
Vijayanagar,2,1180,2,3,8000000
Bommanahalli,2,1194,2,2,4700000
Bommanahalli,2,1500,2,2,6200000
Bommanahalli,2,1160,2,2,5220000
Bommanahalli,2,1128,2,1,6000000
Bommanahalli,2,1500,3,1,15000000
Bommanahalli,2,1220,2,1,3523000
Bommanahalli,2,1210,2,2,5800000
Bommanahalli,2,1100,2,1,5800000
Bommanahalli,2,1200,3,2,4600000
Bommanahalli,2,1200,2,1,4500000
